"orderid","product","totalprice"
"ORD200963","Chair",2651.70
"ORD200394","Desk",2647.75
"ORD200523","Desk",2631.16
"ORD200781","Phone",2621.30
"ORD200287","Chair",2620.72
"ORD200281","Desk",2619.16
"ORD200823","Laptop",2612.52
"ORD200683","Desk",2609.92
"ORD200340","Laptop",2606.25
"ORD200707","Chair",2600.16
"ORD200977","Chair",2597.88
"ORD201094","Printer",2595.64
"ORD201179","Laptop",2592.75
"ORD200986","Laptop",2579.84
"ORD200587","Monitor",2573.00
"ORD200465","Printer",2567.45
"ORD200282","Printer",2551.16
"ORD200446","Laptop",2547.90
"ORD200390","Printer",2543.45
"ORD200500","Laptop",2542.95
"ORD201144","Desk",2539.70
"ORD200607","Printer",2536.20
"ORD201097","Monitor",2532.25
"ORD200549","Monitor",2519.52
"ORD200120","Tablet",2517.36
"ORD200872","Chair",2517.36
"ORD200118","Printer",2513.55
"ORD200558","Phone",2512.48
"ORD200925","Monitor",2512.35
"ORD200345","Tablet",2506.30
"ORD200004","Printer",2504.04
"ORD200114","Monitor",2492.40
"ORD200598","Desk",2476.75
"ORD200567","Chair",2464.70
"ORD200091","Laptop",2463.75
"ORD200457","Desk",2463.32
"ORD200994","Tablet",2462.60
"ORD200311","Desk",2446.85
"ORD200486","Printer",2445.04
"ORD200798","Phone",2441.75
"ORD200832","Chair",2428.55
"ORD200359","Desk",2426.28
"ORD200174","Printer",2403.24
"ORD200817","Chair",2392.76
"ORD200801","Printer",2382.48
"ORD200621","Phone",2380.05
"ORD200913","Printer",2379.75
"ORD200059","Chair",2373.08
"ORD200688","Monitor",2372.88
"ORD200805","Laptop",2360.05
"ORD200360","Phone",2358.28
"ORD200072","Tablet",2357.76
"ORD200560","Monitor",2355.40
"ORD200267","Chair",2342.55
"ORD200490","Chair",2339.05
"ORD200266","Chair",2332.28
"ORD200342","Monitor",2332.10
"ORD200726","Laptop",2332.08
"ORD201080","Laptop",2323.70
"ORD200965","Laptop",2313.12
"ORD200638","Tablet",2313.08
"ORD200588","Monitor",2311.28
"ORD200838","Desk",2308.32
"ORD201124","Chair",2307.48
"ORD200034","Chair",2306.08
"ORD200615","Monitor",2300.70
"ORD200541","Printer",2280.30
"ORD200089","Printer",2276.65
"ORD200641","Printer",2270.28
"ORD200082","Tablet",2260.80
"ORD201199","Tablet",2242.32
"ORD200575","Chair",2240.75
"ORD201041","Monitor",2235.60
"ORD200151","Printer",2223.80
"ORD201027","Laptop",2219.32
"ORD200046","Monitor",2200.56
"ORD200309","Chair",2199.04
"ORD200407","Tablet",2189.28
"ORD200858","Tablet",2178.30
"ORD200200","Tablet",2166.30
"ORD200083","Laptop",2161.64
"ORD201047","Chair",2161.36
"ORD200283","Laptop",2161.32
"ORD200177","Chair",2158.45
"ORD200670","Desk",2156.80
"ORD200189","Printer",2147.25
"ORD201155","Printer",2138.28
"ORD200153","Chair",2137.92
"ORD200737","Phone",2131.48
"ORD200713","Tablet",2129.96
"ORD200399","Tablet",2119.65
"ORD201146","Monitor",2107.20
"ORD200573","Chair",2107.10
"ORD201006","Tablet",2104.90
"ORD200491","Phone",2103.50
"ORD200742","Laptop",2099.79
"ORD200736","Monitor",2092.65
"ORD200935","Phone",2078.13
"ORD200771","Phone",2077.32
"ORD201171","Phone",2073.60
"ORD201034","Printer",2071.92
"ORD200653","Printer",2070.90
"ORD200885","Laptop",2062.36
"ORD200429","Printer",2060.76
"ORD200141","Printer",2052.42
"ORD200288","Laptop",2051.00
"ORD200178","Chair",2048.24
"ORD200304","Monitor",2043.65
"ORD200357","Laptop",2042.80
"ORD200458","Monitor",2042.32
"ORD200009","Desk",2037.52
"ORD200807","Monitor",2028.63
"ORD201035","Laptop",2024.44
"ORD200181","Printer",2021.95
"ORD200915","Laptop",2011.96
"ORD200979","Monitor",2007.18
"ORD201136","Tablet",2004.99
"ORD200100","Phone",1994.37
"ORD200646","Chair",1994.04
"ORD200173","Phone",1993.38
"ORD200562","Laptop",1991.79
"ORD200803","Monitor",1989.05
"ORD200746","Desk",1985.67
"ORD200911","Desk",1984.30
"ORD200216","Monitor",1984.00
"ORD201114","Tablet",1979.64
"ORD200733","Tablet",1979.36
"ORD201010","Monitor",1978.71
"ORD200495","Phone",1974.92
"ORD201070","Desk",1965.16
"ORD200891","Monitor",1963.62
"ORD200715","Printer",1960.89
"ORD201049","Desk",1959.30
"ORD200053","Phone",1955.12
"ORD200923","Printer",1949.79
"ORD200610","Desk",1948.10
"ORD201189","Tablet",1946.10
"ORD200534","Chair",1945.77
"ORD201128","Monitor",1940.37
"ORD200481","Laptop",1939.40
"ORD200651","Chair",1939.02
"ORD200897","Laptop",1925.92
"ORD200574","Chair",1923.45
"ORD200917","Laptop",1919.10
"ORD200850","Monitor",1915.50
"ORD200520","Monitor",1907.94
"ORD200388","Printer",1901.91
"ORD200058","Phone",1898.76
"ORD200996","Monitor",1895.44
"ORD200433","Monitor",1894.92
"ORD200870","Phone",1880.36
"ORD200369","Monitor",1876.25
"ORD200115","Phone",1874.95
"ORD200758","Tablet",1874.52
"ORD200356","Printer",1872.90
"ORD200344","Tablet",1870.02
"ORD201159","Desk",1866.80
"ORD200947","Phone",1862.64
"ORD200195","Chair",1857.63
"ORD200519","Laptop",1857.16
"ORD200293","Tablet",1852.16
"ORD201190","Desk",1849.17
"ORD200699","Laptop",1842.45
"ORD200918","Laptop",1841.25
"ORD200041","Monitor",1834.35
"ORD200964","Phone",1822.10
"ORD200564","Desk",1821.40
"ORD200596","Desk",1819.23
"ORD200278","Laptop",1812.30
"ORD201127","Printer",1808.25
"ORD200405","Monitor",1807.88
"ORD200366","Printer",1806.72
"ORD200616","Tablet",1804.80
"ORD200132","Tablet",1803.00
"ORD200109","Desk",1778.61
"ORD200232","Printer",1777.76
"ORD200080","Phone",1768.68
"ORD200976","Tablet",1767.90
"ORD200779","Phone",1766.22
"ORD201117","Chair",1765.32
"ORD200226","Desk",1764.15
"ORD201028","Desk",1761.24
"ORD200992","Printer",1758.63
"ORD200237","Monitor",1751.16
"ORD200259","Chair",1740.48
"ORD200483","Phone",1739.60
"ORD200263","Phone",1739.40
"ORD200796","Phone",1738.65
"ORD200464","Tablet",1737.68
"ORD200847","Printer",1736.92
"ORD200073","Monitor",1733.80
"ORD200894","Tablet",1725.03
"ORD200093","Desk",1724.04
"ORD200176","Tablet",1723.32
"ORD201082","Chair",1719.66
"ORD200752","Phone",1717.48
"ORD201145","Desk",1714.59
"ORD200624","Tablet",1709.80
"ORD200815","Printer",1709.52
"ORD200652","Chair",1709.20
"ORD200852","Desk",1704.15
"ORD200512","Desk",1704.06
"ORD201081","Monitor",1702.40
"ORD200552","Chair",1700.72
"ORD200502","Monitor",1695.75
"ORD200702","Printer",1687.65
"ORD200402","Printer",1686.90
"ORD201129","Chair",1674.84
"ORD200307","Laptop",1672.23
"ORD200790","Laptop",1671.56
"ORD200599","Chair",1670.97
"ORD200741","Monitor",1663.20
"ORD201123","Tablet",1662.75
"ORD200384","Chair",1660.71
"ORD200515","Phone",1660.56
"ORD200253","Chair",1654.96
"ORD200204","Laptop",1654.84
"ORD200861","Desk",1652.25
"ORD200968","Monitor",1648.80
"ORD201046","Tablet",1641.45
"ORD201137","Printer",1640.84
"ORD200434","Printer",1638.40
"ORD200791","Chair",1637.12
"ORD201125","Desk",1633.44
"ORD200154","Phone",1632.84
"ORD200179","Laptop",1619.73
"ORD200499","Printer",1618.38
"ORD200828","Chair",1618.32
"ORD200239","Tablet",1616.22
"ORD200518","Printer",1614.32
"ORD200143","Chair",1600.28
"ORD200531","Desk",1600.05
"ORD201003","Printer",1599.85
"ORD200539","Desk",1595.16
"ORD200140","Chair",1584.42
"ORD201045","Laptop",1582.00
"ORD200180","Tablet",1580.35
"ORD201164","Tablet",1577.85
"ORD200383","Chair",1575.20
"ORD200442","Chair",1574.70
"ORD200057","Printer",1571.35
"ORD200818","Phone",1563.36
"ORD200739","Phone",1546.92
"ORD200228","Chair",1543.68
"ORD200565","Tablet",1539.90
"ORD200794","Printer",1539.40
"ORD200371","Phone",1538.80
"ORD200238","Desk",1537.28
"ORD200076","Laptop",1531.52
"ORD200682","Monitor",1528.26
"ORD200338","Phone",1527.45
"ORD200472","Chair",1524.36
"ORD200494","Laptop",1517.37
"ORD200952","Monitor",1510.17
"ORD200337","Tablet",1508.31
"ORD201191","Desk",1505.72
"ORD201139","Chair",1505.46
"ORD200130","Desk",1503.90
"ORD200031","Chair",1500.24
"ORD200043","Chair",1497.63
"ORD200627","Chair",1496.04
"ORD201141","Chair",1495.98
"ORD200907","Desk",1491.95
"ORD200636","Laptop",1484.28
"ORD201088","Desk",1474.29
"ORD200068","Chair",1472.76
"ORD200538","Phone",1472.22
"ORD200853","Printer",1470.03
"ORD200813","Laptop",1462.70
"ORD200372","Chair",1450.59
"ORD201073","Tablet",1448.24
"ORD200824","Monitor",1443.30
"ORD200056","Tablet",1437.63
"ORD200069","Monitor",1435.95
"ORD200396","Tablet",1435.65
"ORD200674","Laptop",1435.00
"ORD201105","Tablet",1427.07
"ORD200582","Tablet",1422.42
"ORD200903","Monitor",1420.47
"ORD200987","Phone",1418.65
"ORD200127","Desk",1407.96
"ORD200302","Chair",1406.22
"ORD200966","Monitor",1402.60
"ORD200908","Desk",1395.86
"ORD200106","Desk",1395.15
"ORD201170","Printer",1394.38
"ORD200826","Printer",1391.43
"ORD201149","Chair",1390.58
"ORD200680","Monitor",1390.17
"ORD201102","Chair",1388.68
"ORD200945","Tablet",1382.20
"ORD200438","Tablet",1378.02
"ORD200021","Monitor",1371.80
"ORD200142","Desk",1363.85
"ORD200716","Chair",1362.87
"ORD200719","Laptop",1362.12
"ORD201017","Chair",1361.70
"ORD200198","Laptop",1361.20
"ORD200825","Desk",1358.45
"ORD201022","Tablet",1352.94
"ORD200529","Tablet",1350.20
"ORD200201","Monitor",1349.80
"ORD200543","Desk",1349.30
"ORD200609","Chair",1347.39
"ORD200308","Printer",1346.70
"ORD201016","Tablet",1343.90
"ORD200924","Printer",1342.15
"ORD200612","Chair",1335.36
"ORD200997","Laptop",1334.25
"ORD200974","Desk",1333.90
"ORD200954","Chair",1330.32
"ORD200380","Printer",1327.60
"ORD201196","Monitor",1325.06
"ORD200890","Laptop",1318.59
"ORD200662","Laptop",1316.67
"ORD200626","Tablet",1314.96
"ORD200799","Laptop",1314.24
"ORD200666","Monitor",1308.48
"ORD200859","Chair",1306.65
"ORD201000","Printer",1304.65
"ORD200071","Monitor",1303.35
"ORD200660","Chair",1303.14
"ORD200728","Desk",1303.04
"ORD200330","Desk",1302.65
"ORD201090","Monitor",1300.50
"ORD200355","Tablet",1299.99
"ORD201192","Chair",1298.55
"ORD201085","Printer",1293.38
"ORD200848","Chair",1291.70
"ORD200843","Desk",1290.18
"ORD200416","Laptop",1288.10
"ORD201057","Laptop",1286.64
"ORD200217","Desk",1286.04
"ORD200649","Monitor",1285.96
"ORD200659","Phone",1284.08
"ORD200827","Tablet",1279.76
"ORD200548","Printer",1278.36
"ORD200661","Tablet",1274.67
"ORD200029","Desk",1270.59
"ORD200806","Chair",1268.75
"ORD200331","Printer",1266.39
"ORD200868","Monitor",1265.28
"ORD200988","Desk",1259.12
"ORD201104","Tablet",1259.04
"ORD200569","Desk",1253.40
"ORD200775","Phone",1250.44
"ORD200672","Phone",1248.32
"ORD200630","Monitor",1244.20
"ORD201036","Phone",1241.49
"ORD200270","Printer",1239.64
"ORD200408","Printer",1237.59
"ORD200840","Chair",1235.85
"ORD201008","Monitor",1232.64
"ORD200637","Chair",1225.40
"ORD200214","Desk",1222.88
"ORD200940","Printer",1221.28
"ORD201151","Chair",1216.08
"ORD200485","Chair",1214.37
"ORD200280","Tablet",1213.86
"ORD201150","Desk",1210.60
"ORD200971","Monitor",1210.52
"ORD200133","Chair",1208.20
"ORD200298","Printer",1204.68
"ORD200855","Monitor",1203.05
"ORD200788","Chair",1202.86
"ORD201013","Laptop",1202.24
"ORD200276","Printer",1201.14
"ORD200751","Tablet",1199.72
"ORD201089","Tablet",1199.48
"ORD200075","Tablet",1194.51
"ORD201180","Chair",1193.44
"ORD200948","Phone",1188.14
"ORD200623","Printer",1188.00
"ORD200983","Monitor",1185.12
"ORD200622","Desk",1181.90
"ORD201005","Printer",1178.55
"ORD201138","Desk",1177.64
"ORD201147","Chair",1176.60
"ORD200640","Chair",1174.98
"ORD201023","Laptop",1168.35
"ORD200116","Printer",1165.40
"ORD200322","Phone",1159.10
"ORD200973","Desk",1153.85
"ORD200648","Monitor",1151.66
"ORD200654","Tablet",1147.11
"ORD200482","Monitor",1144.23
"ORD200706","Desk",1140.45
"ORD200960","Laptop",1137.21
"ORD200124","Printer",1135.16
"ORD200329","Chair",1132.64
"ORD201014","Tablet",1132.25
"ORD200157","Monitor",1129.16
"ORD200922","Desk",1127.64
"ORD200319","Laptop",1126.12
"ORD200019","Monitor",1120.00
"ORD200854","Laptop",1117.80
"ORD200197","Laptop",1107.55
"ORD201140","Printer",1105.66
"ORD201103","Laptop",1105.28
"ORD201075","Monitor",1105.26
"ORD201024","Chair",1103.25
"ORD200126","Desk",1102.00
"ORD200316","Desk",1101.12
"ORD200044","Phone",1100.36
"ORD201055","Monitor",1099.28
"ORD200144","Desk",1098.90
"ORD200879","Phone",1095.34
"ORD200023","Phone",1093.00
"ORD200842","Laptop",1092.42
"ORD201038","Tablet",1087.59
"ORD200809","Desk",1087.15
"ORD200325","Desk",1084.17
"ORD200679","Tablet",1081.98
"ORD200348","Laptop",1079.19
"ORD200210","Chair",1075.44
"ORD200929","Tablet",1072.50
"ORD200203","Printer",1070.52
"ORD200765","Laptop",1069.82
"ORD200119","Desk",1069.34
"ORD200036","Laptop",1068.86
"ORD200869","Desk",1067.90
"ORD200016","Printer",1067.62
"ORD200122","Laptop",1066.04
"ORD201116","Printer",1062.98
"ORD200347","Printer",1059.16
"ORD200129","Laptop",1055.72
"ORD200391","Laptop",1054.92
"ORD200470","Tablet",1054.48
"ORD200382","Printer",1052.36
"ORD200428","Chair",1050.32
"ORD201198","Chair",1050.08
"ORD201092","Laptop",1046.00
"ORD200939","Laptop",1042.80
"ORD200284","Laptop",1040.85
"ORD200487","Printer",1039.56
"ORD200410","Tablet",1036.46
"ORD200055","Printer",1033.20
"ORD200476","Phone",1027.18
"ORD201086","Tablet",1026.84
"ORD200675","Desk",1026.06
"ORD200125","Phone",1025.30
"ORD200773","Phone",1024.66
"ORD200373","Laptop",1023.45
"ORD201098","Monitor",1023.44
"ORD200647","Desk",1018.17
"ORD200755","Desk",1010.13
"ORD200376","Monitor",1006.10
"ORD200589","Laptop",1001.60
"ORD200165","Monitor",1000.58
"ORD200262","Phone",996.28
"ORD200938","Chair",994.38
"ORD201053","Phone",993.24
"ORD200561","Printer",989.56
"ORD200297","Desk",987.76
"ORD201004","Chair",987.64
"ORD200778","Laptop",987.40
"ORD200782","Monitor",987.26
"ORD200554","Laptop",985.80
"ORD200989","Laptop",984.44
"ORD200692","Desk",984.20
"ORD201030","Phone",981.12
"ORD200874","Chair",977.80
"ORD200191","Laptop",977.74
"ORD201166","Chair",973.41
"ORD200871","Tablet",972.90
"ORD201056","Phone",972.70
"ORD200738","Phone",970.74
"ORD200385","Chair",958.15
"ORD201011","Phone",956.72
"ORD200711","Tablet",951.56
"ORD201126","Phone",950.55
"ORD200113","Laptop",950.40
"ORD200904","Monitor",949.72
"ORD200866","Desk",946.25
"ORD201021","Phone",945.81
"ORD200234","Printer",945.64
"ORD200209","Tablet",939.85
"ORD201111","Monitor",937.80
"ORD201133","Printer",935.82
"ORD200880","Laptop",934.80
"ORD200233","Phone",933.99
"ORD200183","Monitor",931.40
"ORD200147","Laptop",930.36
"ORD200035","Monitor",930.30
"ORD201096","Tablet",929.84
"ORD200504","Monitor",929.00
"ORD200111","Desk",927.66
"ORD200910","Printer",926.94
"ORD200665","Tablet",925.04
"ORD200759","Desk",924.03
"ORD200744","Tablet",922.74
"ORD200590","Printer",922.26
"ORD201163","Laptop",918.87
"ORD200206","Laptop",916.40
"ORD200550","Laptop",915.64
"ORD201077","Printer",915.48
"ORD200514","Printer",912.45
"ORD200930","Phone",912.08
"ORD201157","Monitor",904.65
"ORD200754","Printer",904.10
"ORD200334","Chair",899.00
"ORD200734","Printer",898.44
"ORD200881","Tablet",897.70
"ORD200379","Phone",893.01
"ORD200689","Tablet",889.68
"ORD200787","Desk",887.84
"ORD200841","Printer",886.44
"ORD200436","Laptop",885.32
"ORD201095","Phone",883.08
"ORD200797","Laptop",877.52
"ORD200475","Tablet",877.24
"ORD200103","Phone",873.72
"ORD201197","Tablet",873.68
"ORD200505","Printer",869.94
"ORD200352","Chair",869.80
"ORD200313","Chair",868.60
"ORD200196","Desk",868.52
"ORD200261","Phone",868.25
"ORD200184","Tablet",858.16
"ORD200849","Printer",857.40
"ORD200920","Tablet",856.18
"ORD200030","Monitor",853.40
"ORD200944","Laptop",852.44
"ORD200793","Chair",851.10
"ORD200509","Laptop",850.06
"ORD200432","Tablet",848.64
"ORD200268","Phone",847.76
"ORD200676","Laptop",844.68
"ORD201182","Chair",840.58
"ORD201113","Desk",839.96
"ORD200990","Phone",836.52
"ORD200123","Desk",834.12
"ORD200447","Printer",833.62
"ORD200362","Monitor",827.36
"ORD200422","Phone",826.40
"ORD201058","Desk",824.28
"ORD200606","Laptop",824.25
"ORD200146","Tablet",822.98
"ORD200225","Phone",821.88
"ORD201042","Tablet",819.50
"ORD200208","Desk",816.64
"ORD200260","Monitor",815.58
"ORD200501","Desk",813.84
"ORD200368","Monitor",813.06
"ORD200946","Phone",809.92
"ORD200993","Monitor",802.35
"ORD200272","Chair",798.64
"ORD200152","Chair",798.08
"ORD200819","Phone",796.90
"ORD201064","Laptop",795.24
"ORD200517","Tablet",793.40
"ORD200254","Monitor",789.57
"ORD201093","Phone",789.44
"ORD200081","Monitor",788.60
"ORD200933","Monitor",788.32
"ORD200014","Tablet",786.66
"ORD200664","Laptop",779.00
"ORD200698","Laptop",776.44
"ORD200857","Phone",773.52
"ORD200595","Printer",770.32
"ORD200039","Printer",769.38
"ORD200167","Chair",768.28
"ORD200830","Tablet",762.56
"ORD200202","Monitor",761.94
"ORD200449","Tablet",759.15
"ORD200740","Desk",754.94
"ORD201118","Phone",754.44
"ORD200919","Printer",749.20
"ORD200007","Monitor",747.75
"ORD200220","Laptop",746.34
"ORD200673","Tablet",745.84
"ORD200729","Phone",745.64
"ORD200650","Desk",744.46
"ORD201188","Printer",742.58
"ORD200537","Tablet",742.41
"ORD200577","Tablet",741.64
"ORD200928","Laptop",741.33
"ORD200780","Laptop",737.92
"ORD200644","Chair",732.46
"ORD200227","Monitor",730.34
"ORD200090","Chair",728.32
"ORD200188","Chair",727.82
"ORD200570","Desk",724.28
"ORD200902","Monitor",721.00
"ORD200846","Desk",719.72
"ORD200691","Laptop",717.24
"ORD200792","Desk",712.70
"ORD200804","Chair",709.50
"ORD200078","Printer",701.44
"ORD201015","Printer",698.80
"ORD200821","Laptop",697.96
"ORD201131","Phone",694.50
"ORD200354","Phone",693.41
"ORD200291","Phone",690.02
"ORD201152","Tablet",688.36
"ORD200040","Desk",688.04
"ORD200474","Printer",688.02
"ORD200568","Laptop",687.98
"ORD201193","Tablet",687.89
"ORD201119","Laptop",684.65
"ORD200246","Desk",684.22
"ORD200835","Desk",679.65
"ORD200365","Phone",678.38
"ORD200893","Monitor",678.01
"ORD201026","Monitor",677.48
"ORD200453","Tablet",675.57
"ORD200087","Tablet",675.33
"ORD201132","Chair",674.64
"ORD200625","Tablet",672.89
"ORD201115","Laptop",672.64
"ORD201165","Chair",671.37
"ORD200190","Printer",671.10
"ORD200248","Laptop",670.54
"ORD200525","Monitor",668.48
"ORD200553","Phone",667.66
"ORD201174","Printer",667.02
"ORD200875","Laptop",666.95
"ORD200708","Printer",665.11
"ORD200412","Tablet",665.05
"ORD200006","Laptop",664.42
"ORD201168","Laptop",662.84
"ORD200878","Desk",661.38
"ORD201054","Printer",660.66
"ORD201061","Laptop",658.50
"ORD200441","Printer",657.08
"ORD200603","Tablet",657.07
"ORD200346","Tablet",655.09
"ORD200556","Laptop",654.27
"ORD200566","Phone",650.84
"ORD201130","Laptop",646.90
"ORD200899","Printer",646.74
"ORD200767","Tablet",646.44
"ORD200192","Desk",645.46
"ORD200720","Desk",644.75
"ORD200289","Chair",641.96
"ORD200163","Tablet",641.39
"ORD201063","Desk",641.36
"ORD200400","Desk",640.88
"ORD200028","Phone",640.28
"ORD200455","Phone",639.83
"ORD200148","Phone",639.82
"ORD200991","Desk",635.90
"ORD200066","Chair",635.90
"ORD200244","Desk",635.54
"ORD201108","Laptop",634.94
"ORD200213","Laptop",634.40
"ORD201067","Phone",632.40
"ORD200353","Tablet",630.82
"ORD200070","Desk",629.21
"ORD200528","Chair",628.89
"ORD201091","Laptop",628.44
"ORD200581","Laptop",627.34
"ORD200392","Phone",627.20
"ORD200970","Desk",627.15
"ORD200914","Desk",626.60
"ORD200320","Printer",625.51
"ORD200332","Desk",625.10
"ORD200199","Phone",625.00
"ORD200079","Tablet",623.82
"ORD200403","Tablet",620.21
"ORD201032","Chair",618.68
"ORD200335","Tablet",617.58
"ORD200536","Chair",616.10
"ORD200547","Phone",613.98
"ORD200592","Phone",612.81
"ORD200951","Printer",612.48
"ORD200314","Desk",612.36
"ORD200321","Phone",609.16
"ORD200591","Laptop",605.28
"ORD200772","Monitor",604.87
"ORD200696","Chair",604.80
"ORD200013","Laptop",604.47
"ORD200425","Laptop",603.76
"ORD200496","Printer",603.63
"ORD200961","Phone",601.36
"ORD200182","Desk",600.54
"ORD201039","Desk",598.46
"ORD200937","Chair",597.06
"ORD200950","Laptop",596.24
"ORD201154","Monitor",595.89
"ORD200884","Chair",595.54
"ORD200294","Phone",595.42
"ORD200168","Printer",594.96
"ORD200839","Chair",593.91
"ORD200187","Chair",590.87
"ORD200814","Chair",590.04
"ORD200856","Phone",586.62
"ORD200052","Tablet",586.44
"ORD200301","Chair",583.99
"ORD200139","Phone",583.90
"ORD200909","Tablet",583.70
"ORD200077","Phone",583.18
"ORD200104","Phone",582.04
"ORD200750","Tablet",581.64
"ORD200211","Printer",580.74
"ORD200943","Monitor",580.47
"ORD200584","Chair",580.20
"ORD200421","Chair",576.42
"ORD200743","Monitor",576.35
"ORD200265","Printer",572.13
"ORD200374","Monitor",571.90
"ORD200867","Printer",570.32
"ORD200763","Laptop",569.96
"ORD200363","Laptop",569.35
"ORD201194","Printer",568.32
"ORD200533","Desk",565.85
"ORD200063","Chair",564.86
"ORD200229","Tablet",562.61
"ORD200941","Printer",558.50
"ORD200508","Phone",558.27
"ORD200766","Printer",557.76
"ORD200105","Printer",556.20
"ORD200810","Tablet",553.56
"ORD200617","Tablet",553.41
"ORD200949","Desk",551.90
"ORD200882","Phone",548.24
"ORD201018","Laptop",547.44
"ORD200981","Phone",547.32
"ORD201060","Tablet",546.86
"ORD200249","Printer",546.19
"ORD200271","Monitor",542.07
"ORD201160","Desk",541.64
"ORD200156","Chair",539.66
"ORD200401","Printer",538.68
"ORD200295","Printer",537.40
"ORD201040","Tablet",536.07
"ORD200117","Tablet",535.50
"ORD200888","Laptop",533.90
"ORD200619","Laptop",532.89
"ORD201052","Tablet",531.74
"ORD200094","Chair",531.18
"ORD200498","Tablet",530.24
"ORD200639","Chair",529.19
"ORD200521","Phone",528.06
"ORD200343","Printer",527.57
"ORD201169","Chair",525.43
"ORD200877","Tablet",524.06
"ORD200586","Monitor",522.08
"ORD200747","Tablet",519.16
"ORD200634","Printer",518.64
"ORD200749","Laptop",518.39
"ORD200522","Chair",515.32
"ORD200887","Chair",514.98
"ORD200437","Phone",512.39
"ORD200580","Monitor",511.98
"ORD200812","Phone",510.52
"ORD201071","Phone",510.28
"ORD200305","Laptop",507.56
"ORD200477","Phone",507.48
"ORD201001","Printer",507.36
"ORD200668","Monitor",507.34
"ORD200695","Printer",506.50
"ORD200137","Monitor",501.96
"ORD200516","Monitor",500.97
"ORD200005","Phone",491.72
"ORD200864","Desk",491.11
"ORD200593","Monitor",489.80
"ORD200678","Chair",489.39
"ORD200061","Desk",488.80
"ORD200445","Phone",487.21
"ORD201101","Monitor",485.91
"ORD200999","Printer",483.38
"ORD200753","Phone",482.98
"ORD200942","Tablet",479.76
"ORD200822","Phone",479.56
"ORD200934","Laptop",479.36
"ORD200727","Chair",478.75
"ORD200273","Tablet",476.50
"ORD201181","Desk",476.22
"ORD200958","Desk",475.98
"ORD200898","Monitor",475.11
"ORD200730","Phone",474.60
"ORD200697","Printer",474.25
"ORD200015","Printer",473.96
"ORD200027","Printer",472.74
"ORD200339","Printer",472.66
"ORD200559","Desk",472.20
"ORD200095","Printer",470.04
"ORD200667","Laptop",466.42
"ORD200096","Phone",465.66
"ORD200349","Chair",465.33
"ORD200895","Chair",463.92
"ORD200583","Chair",463.11
"ORD200795","Laptop",463.08
"ORD200024","Laptop",461.90
"ORD200613","Laptop",460.72
"ORD200886","Phone",460.13
"ORD200901","Tablet",458.63
"ORD200315","Tablet",458.35
"ORD200605","Monitor",457.82
"ORD200098","Printer",457.08
"ORD200277","Chair",454.60
"ORD200074","Phone",454.35
"ORD201069","Monitor",454.23
"ORD200420","Phone",452.70
"ORD200430","Phone",450.07
"ORD201162","Phone",448.74
"ORD200489","Tablet",448.02
"ORD200318","Chair",446.16
"ORD200745","Printer",445.20
"ORD200905","Laptop",442.39
"ORD200205","Desk",442.17
"ORD200896","Desk",441.87
"ORD200247","Printer",441.80
"ORD200145","Printer",440.73
"ORD200969","Desk",440.34
"ORD200085","Tablet",440.19
"ORD200921","Tablet",438.93
"ORD200643","Laptop",438.37
