"orderid","date","customerid","product","quantity","unitprice","shippingaddress","paymentmethod","orderstatus","trackingnumber","itemsincart","couponcode","referralsource","totalprice"
"ORD200055","2025-06-24","C95984","Printer",3,344.40,"565 Main St","Online","Cancelled","TRK67434829",3,"No Coupon","Facebook",1033.20
"ORD200056","2023-05-21","C54298","Tablet",3,479.21,"566 Main St","Cash","Cancelled","TRK62902341",5,"WINTER15","Referral",1437.63
"ORD200057","2023-01-22","C88036","Printer",5,314.27,"842 Main St","Cash","Returned","TRK52470128",6,"SAVE10","Instagram",1571.35
"ORD200059","2024-09-11","C97603","Chair",4,593.27,"811 Main St","Online","Shipped","TRK47055028",5,"No Coupon","Facebook",2373.08
"ORD200061","2024-03-24","C61618","Desk",4,122.20,"104 Main St","Cash","Delivered","TRK43458485",7,"FREESHIP","Facebook",488.80
"ORD200066","2024-11-15","C18104","Chair",5,127.18,"715 Main St","Cash","Cancelled","TRK15488568",9,"SAVE10","Referral",635.90
"ORD200069","2023-05-11","C43338","Monitor",3,478.65,"552 Main St","Online","Shipped","TRK35241775",4,"No Coupon","Referral",1435.95
"ORD200074","2023-06-24","C25382","Phone",5,90.87,"622 Main St","Cash","Pending","TRK64691287",5,"No Coupon","Instagram",454.35
"ORD200076","2024-03-31","C58638","Laptop",4,382.88,"239 Main St","Cash","Cancelled","TRK38224871",6,"WINTER15","Email",1531.52
"ORD200079","2025-03-10","C76700","Tablet",2,311.91,"103 Main St","Online","Shipped","TRK13036341",2,"No Coupon","Facebook",623.82
"ORD200080","2023-06-27","C29041","Phone",3,589.56,"591 Main St","Online","Returned","TRK28840655",6,"No Coupon","Facebook",1768.68
"ORD200081","2023-06-08","C29314","Monitor",2,394.30,"496 Main St","Cash","Shipped","TRK59876213",6,"FREESHIP","Email",788.60
"ORD200084","2023-08-28","C64160","Monitor",2,165.49,"967 Main St","Online","Shipped","TRK34121529",4,"WINTER15","Instagram",330.98
"ORD200085","2024-09-09","C14553","Tablet",3,146.73,"768 Main St","Cash","Delivered","TRK93538334",8,"FREESHIP","Email",440.19
"ORD200086","2024-06-19","C88205","Printer",5,643.03,"447 Main St","Online","Cancelled","TRK93504166",5,"FREESHIP","Referral",3215.15
"ORD200087","2024-10-10","C91245","Tablet",3,225.11,"915 Main St","Cash","Shipped","TRK46976391",4,"SAVE10","Facebook",675.33
"ORD200091","2023-03-15","C98216","Laptop",5,492.75,"196 Main St","Cash","Shipped","TRK40986666",6,"WINTER15","Referral",2463.75
"ORD200092","2024-06-10","C29568","Printer",4,48.61,"203 Main St","Online","Shipped","TRK46531075",7,"FREESHIP","Facebook",194.44
"ORD200100","2023-02-17","C74866","Phone",3,664.79,"743 Main St","Online","Delivered","TRK53783265",6,"No Coupon","Facebook",1994.37
"ORD200101","2023-11-25","C15283","Printer",1,381.02,"152 Main St","Cash","Shipped","TRK19286291",6,"No Coupon","Google",381.02
"ORD200111","2025-05-07","C95271","Desk",3,309.22,"620 Main St","Online","Cancelled","TRK74904969",7,"FREESHIP","Google",927.66
"ORD200112","2023-01-01","C81366","Monitor",1,410.60,"423 Main St","Online","Cancelled","TRK17062206",2,"WINTER15","Referral",410.60
"ORD200113","2024-01-17","C65905","Laptop",5,190.08,"605 Main St","Cash","Shipped","TRK73954365",9,"FREESHIP","Instagram",950.40
"ORD200114","2025-01-27","C77272","Monitor",5,498.48,"115 Main St","Online","Pending","TRK29708128",8,"SAVE10","Google",2492.40
"ORD200115","2023-11-27","C32580","Phone",5,374.99,"122 Main St","Online","Shipped","TRK23670394",9,"SAVE10","Facebook",1874.95
"ORD200120","2023-04-11","C58108","Tablet",4,629.34,"986 Main St","Cash","Cancelled","TRK66218053",4,"WINTER15","Instagram",2517.36
"ORD200121","2023-11-30","C89822","Desk",1,410.78,"673 Main St","Cash","Cancelled","TRK24138598",1,"FREESHIP","Instagram",410.78
"ORD200123","2023-07-06","C86064","Desk",3,278.04,"727 Main St","Online","Delivered","TRK62182901",5,"No Coupon","Instagram",834.12
"ORD200124","2024-07-28","C97148","Printer",4,283.79,"563 Main St","Online","Pending","TRK85321126",8,"No Coupon","Google",1135.16
"ORD200130","2025-01-22","C29059","Desk",3,501.30,"513 Main St","Online","Cancelled","TRK88360704",3,"WINTER15","Facebook",1503.90
"ORD200134","2025-06-23","C16253","Laptop",2,199.70,"583 Main St","Cash","Pending","TRK17354894",4,"No Coupon","Email",399.40
"ORD200139","2023-04-10","C61440","Phone",1,583.90,"714 Main St","Cash","Returned","TRK33114521",1,"No Coupon","Email",583.90
"ORD200140","2025-05-31","C33110","Chair",3,528.14,"388 Main St","Online","Delivered","TRK38624225",3,"FREESHIP","Email",1584.42
"ORD200141","2023-11-18","C80004","Printer",3,684.14,"151 Main St","Cash","Cancelled","TRK66230753",3,"WINTER15","Instagram",2052.42
"ORD200142","2023-09-06","C86374","Desk",5,272.77,"573 Main St","Cash","Pending","TRK79451491",7,"WINTER15","Email",1363.85
"ORD200143","2024-06-13","C66521","Chair",4,400.07,"933 Main St","Online","Shipped","TRK34654244",5,"No Coupon","Referral",1600.28
"ORD200152","2025-01-02","C77736","Chair",2,399.04,"659 Main St","Cash","Cancelled","TRK90329250",3,"FREESHIP","Referral",798.08
"ORD200153","2024-12-18","C71570","Chair",4,534.48,"437 Main St","Online","Returned","TRK95992269",9,"WINTER15","Instagram",2137.92
"ORD200155","2023-02-27","C62740","Phone",1,424.40,"446 Main St","Online","Shipped","TRK20706408",6,"WINTER15","Referral",424.40
"ORD200156","2024-11-08","C58808","Chair",2,269.83,"651 Main St","Online","Delivered","TRK24451893",4,"SAVE10","Email",539.66
"ORD200157","2025-02-21","C50422","Monitor",2,564.58,"636 Main St","Online","Returned","TRK71227815",4,"WINTER15","Facebook",1129.16
"ORD200160","2023-02-17","C38669","Monitor",4,101.32,"240 Main St","Cash","Pending","TRK81738254",7,"No Coupon","Referral",405.28
"ORD200162","2023-07-27","C82313","Chair",3,65.86,"917 Main St","Online","Pending","TRK79854624",8,"WINTER15","Google",197.58
"ORD200163","2025-06-24","C99589","Tablet",1,641.39,"277 Main St","Online","Cancelled","TRK16695001",1,"No Coupon","Referral",641.39
"ORD200165","2024-09-14","C60355","Monitor",2,500.29,"226 Main St","Online","Returned","TRK30155194",7,"WINTER15","Google",1000.58
"ORD200166","2025-03-04","C28889","Chair",3,86.29,"565 Main St","Cash","Delivered","TRK23791726",6,"WINTER15","Instagram",258.87
"ORD200167","2023-05-27","C88304","Chair",2,384.14,"219 Main St","Online","Returned","TRK44268941",2,"WINTER15","Email",768.28
"ORD200168","2025-01-04","C49517","Printer",1,594.96,"878 Main St","Cash","Returned","TRK78551375",6,"No Coupon","Facebook",594.96
"ORD200169","2024-04-07","C35785","Printer",1,427.82,"732 Main St","Online","Delivered","TRK78923089",2,"WINTER15","Email",427.82
"ORD200170","2025-04-04","C80223","Desk",4,662.94,"535 Main St","Cash","Cancelled","TRK68632951",8,"SAVE10","Instagram",2651.76
"ORD200172","2025-04-06","C34134","Printer",1,254.12,"365 Main St","Online","Delivered","TRK43074303",1,"WINTER15","Email",254.12
"ORD200173","2024-03-24","C95901","Phone",3,664.46,"806 Main St","Online","Delivered","TRK56989066",4,"FREESHIP","Google",1993.38
"ORD200178","2024-04-11","C53070","Chair",4,512.06,"283 Main St","Online","Delivered","TRK49791755",5,"SAVE10","Google",2048.24
"ORD200180","2023-03-18","C87216","Tablet",5,316.07,"970 Main St","Cash","Returned","TRK18713727",10,"No Coupon","Google",1580.35
"ORD200181","2024-08-31","C38966","Printer",5,404.39,"247 Main St","Online","Shipped","TRK17205146",10,"No Coupon","Referral",2021.95
"ORD200185","2025-02-02","C46877","Laptop",1,210.70,"572 Main St","Online","Shipped","TRK96935978",2,"WINTER15","Referral",210.70
"ORD200186","2023-12-07","C30334","Phone",2,133.55,"322 Main St","Cash","Pending","TRK66388885",7,"FREESHIP","Facebook",267.10
"ORD200190","2024-08-31","C35483","Printer",3,223.70,"725 Main St","Cash","Returned","TRK79638203",3,"SAVE10","Email",671.10
"ORD200191","2025-03-08","C51494","Laptop",2,488.87,"505 Main St","Online","Cancelled","TRK58520306",4,"FREESHIP","Google",977.74
"ORD200193","2023-07-21","C11644","Printer",1,46.66,"429 Main St","Cash","Cancelled","TRK81320339",6,"No Coupon","Google",46.66
"ORD200194","2024-06-08","C53501","Monitor",1,249.57,"899 Main St","Cash","Shipped","TRK90144892",3,"FREESHIP","Google",249.57
"ORD200196","2025-01-24","C40882","Desk",4,217.13,"719 Main St","Cash","Delivered","TRK64165503",8,"WINTER15","Email",868.52
"ORD200197","2023-08-27","C80135","Laptop",5,221.51,"723 Main St","Cash","Returned","TRK95222269",5,"WINTER15","Referral",1107.55
"ORD200198","2024-06-11","C37594","Laptop",4,340.30,"926 Main St","Cash","Cancelled","TRK94405162",8,"SAVE10","Referral",1361.20
"ORD200199","2025-01-23","C87524","Phone",1,625.00,"358 Main St","Online","Returned","TRK21114341",5,"WINTER15","Google",625.00
"ORD200201","2023-06-18","C10126","Monitor",2,674.90,"146 Main St","Online","Shipped","TRK75607531",4,"SAVE10","Facebook",1349.80
"ORD200203","2025-01-21","C99173","Printer",3,356.84,"172 Main St","Online","Shipped","TRK89849342",5,"SAVE10","Instagram",1070.52
"ORD200208","2024-10-08","C87777","Desk",2,408.32,"597 Main St","Online","Shipped","TRK29003608",3,"FREESHIP","Facebook",816.64
"ORD200209","2023-08-29","C35854","Tablet",5,187.97,"706 Main St","Cash","Returned","TRK30615168",9,"SAVE10","Google",939.85
"ORD200213","2023-04-20","C71122","Laptop",1,634.40,"317 Main St","Cash","Cancelled","TRK54757882",6,"SAVE10","Email",634.40
"ORD200214","2024-08-21","C29483","Desk",4,305.72,"673 Main St","Online","Delivered","TRK89423603",5,"No Coupon","Facebook",1222.88
"ORD200215","2023-08-10","C26767","Printer",1,303.60,"432 Main St","Cash","Shipped","TRK24585307",5,"FREESHIP","Facebook",303.60
"ORD200216","2025-04-15","C70492","Monitor",4,496.00,"811 Main St","Online","Cancelled","TRK84625405",8,"WINTER15","Google",1984.00
"ORD200217","2024-05-20","C61549","Desk",4,321.51,"908 Main St","Cash","Returned","TRK65596914",9,"No Coupon","Google",1286.04
"ORD200219","2025-05-02","C48946","Laptop",5,61.97,"457 Main St","Cash","Delivered","TRK99387220",6,"SAVE10","Email",309.85
"ORD200222","2023-05-04","C43124","Chair",4,693.36,"931 Main St","Online","Shipped","TRK17293348",8,"No Coupon","Instagram",2773.44
"ORD200224","2023-09-23","C18567","Printer",4,91.46,"507 Main St","Cash","Cancelled","TRK17554673",9,"SAVE10","Referral",365.84
"ORD200227","2023-11-02","C93220","Monitor",2,365.17,"353 Main St","Online","Cancelled","TRK89023251",4,"FREESHIP","Facebook",730.34
"ORD200233","2024-08-24","C30168","Phone",3,311.33,"146 Main St","Cash","Cancelled","TRK73699939",3,"WINTER15","Instagram",933.99
"ORD200235","2023-02-20","C32854","Desk",1,65.45,"815 Main St","Cash","Pending","TRK30009218",2,"WINTER15","Google",65.45
"ORD200239","2024-12-11","C20256","Tablet",3,538.74,"456 Main St","Online","Shipped","TRK71127943",6,"FREESHIP","Email",1616.22
"ORD200240","2023-07-12","C14983","Tablet",1,17.24,"255 Main St","Online","Pending","TRK93444157",2,"FREESHIP","Instagram",17.24
"ORD200241","2023-05-16","C20817","Chair",5,615.67,"407 Main St","Online","Pending","TRK44164590",6,"SAVE10","Email",3078.35
"ORD200242","2023-05-09","C94921","Printer",2,219.10,"134 Main St","Online","Pending","TRK97794327",4,"SAVE10","Referral",438.20
"ORD200243","2025-05-09","C54725","Chair",2,144.66,"506 Main St","Online","Cancelled","TRK30601940",7,"FREESHIP","Google",289.32
"ORD200245","2025-04-20","C12667","Laptop",1,223.30,"306 Main St","Online","Returned","TRK25390491",1,"No Coupon","Facebook",223.30
"ORD200248","2023-07-02","C97187","Laptop",1,670.54,"471 Main St","Cash","Shipped","TRK62283713",6,"FREESHIP","Referral",670.54
"ORD200249","2024-02-07","C39106","Printer",1,546.19,"245 Main St","Cash","Pending","TRK35464433",5,"FREESHIP","Referral",546.19
"ORD200251","2025-05-15","C93175","Monitor",4,14.69,"814 Main St","Cash","Cancelled","TRK32995144",9,"No Coupon","Email",58.76
"ORD200254","2023-12-26","C10866","Monitor",3,263.19,"770 Main St","Online","Delivered","TRK34809583",5,"No Coupon","Instagram",789.57
"ORD200258","2024-02-26","C87764","Tablet",2,103.41,"294 Main St","Online","Shipped","TRK94082469",2,"FREESHIP","Referral",206.82
"ORD200264","2024-08-03","C71035","Tablet",1,436.77,"977 Main St","Cash","Returned","TRK19599578",5,"FREESHIP","Google",436.77
"ORD200271","2023-03-28","C59572","Monitor",1,542.07,"791 Main St","Cash","Shipped","TRK16792991",6,"WINTER15","Referral",542.07
"ORD200272","2023-09-19","C29758","Chair",2,399.32,"119 Main St","Online","Pending","TRK12990043",6,"WINTER15","Instagram",798.64
"ORD200273","2024-10-27","C11849","Tablet",2,238.25,"974 Main St","Online","Cancelled","TRK91195261",7,"FREESHIP","Email",476.50
"ORD200278","2024-11-18","C46015","Laptop",5,362.46,"299 Main St","Cash","Delivered","TRK46598430",6,"FREESHIP","Instagram",1812.30
"ORD200279","2023-10-20","C69167","Chair",3,55.01,"263 Main St","Online","Pending","TRK12425655",7,"WINTER15","Email",165.03
"ORD200281","2023-07-27","C87181","Desk",4,654.79,"195 Main St","Cash","Pending","TRK60093390",9,"No Coupon","Referral",2619.16
"ORD200283","2025-02-28","C39638","Laptop",4,540.33,"990 Main St","Cash","Shipped","TRK69745608",6,"No Coupon","Google",2161.32
"ORD200285","2025-06-10","C67583","Phone",1,338.31,"974 Main St","Online","Delivered","TRK93281700",3,"No Coupon","Google",338.31
"ORD200287","2023-11-24","C70437","Chair",4,655.18,"630 Main St","Online","Shipped","TRK26628830",5,"No Coupon","Facebook",2620.72
"ORD200290","2023-05-05","C24901","Chair",3,99.90,"258 Main St","Cash","Delivered","TRK14029489",8,"FREESHIP","Facebook",299.70
"ORD200294","2025-04-01","C65414","Phone",2,297.71,"208 Main St","Online","Shipped","TRK67562517",7,"SAVE10","Referral",595.42
"ORD200298","2023-12-19","C19402","Printer",4,301.17,"267 Main St","Online","Cancelled","TRK97825212",6,"No Coupon","Email",1204.68
"ORD200301","2023-05-11","C31105","Chair",1,583.99,"726 Main St","Cash","Cancelled","TRK40149095",2,"SAVE10","Email",583.99
"ORD200302","2023-05-16","C29432","Chair",3,468.74,"121 Main St","Cash","Pending","TRK44142517",4,"FREESHIP","Instagram",1406.22
"ORD200305","2023-11-25","C63822","Laptop",4,126.89,"235 Main St","Cash","Pending","TRK59353216",9,"FREESHIP","Instagram",507.56
"ORD200307","2023-07-01","C92407","Laptop",3,557.41,"135 Main St","Online","Delivered","TRK11755610",4,"No Coupon","Email",1672.23
"ORD200310","2024-02-24","C85863","Printer",3,132.48,"968 Main St","Online","Shipped","TRK16094218",4,"No Coupon","Referral",397.44
"ORD200311","2025-05-17","C71698","Desk",5,489.37,"274 Main St","Online","Returned","TRK34786818",8,"No Coupon","Instagram",2446.85
"ORD200313","2023-07-09","C67687","Chair",2,434.30,"978 Main St","Cash","Delivered","TRK22838735",7,"SAVE10","Instagram",868.60
"ORD200314","2023-10-04","C29931","Desk",4,153.09,"540 Main St","Online","Delivered","TRK48712417",4,"FREESHIP","Referral",612.36
"ORD200315","2025-05-12","C59139","Tablet",5,91.67,"301 Main St","Online","Cancelled","TRK45507090",9,"FREESHIP","Email",458.35
"ORD200317","2023-04-10","C88370","Monitor",2,139.95,"339 Main St","Online","Returned","TRK22575151",5,"No Coupon","Instagram",279.90
"ORD200319","2023-12-02","C53049","Laptop",2,563.06,"413 Main St","Cash","Returned","TRK48974907",6,"No Coupon","Instagram",1126.12
"ORD200328","2023-02-28","C18404","Tablet",5,674.04,"546 Main St","Online","Cancelled","TRK89401624",7,"SAVE10","Google",3370.20
"ORD200331","2023-04-15","C78724","Printer",3,422.13,"187 Main St","Online","Delivered","TRK25703134",7,"SAVE10","Facebook",1266.39
"ORD200334","2024-03-26","C90348","Chair",4,224.75,"728 Main St","Online","Delivered","TRK20635777",7,"WINTER15","Facebook",899.00
"ORD200339","2024-04-10","C84563","Printer",2,236.33,"398 Main St","Online","Pending","TRK62422797",3,"SAVE10","Instagram",472.66
"ORD200340","2023-04-23","C76207","Laptop",5,521.25,"826 Main St","Cash","Cancelled","TRK25569378",8,"No Coupon","Email",2606.25
"ORD200344","2025-03-06","C95623","Tablet",3,623.34,"248 Main St","Online","Cancelled","TRK67558189",3,"SAVE10","Instagram",1870.02
"ORD200346","2024-12-06","C31764","Tablet",1,655.09,"876 Main St","Cash","Pending","TRK44680433",6,"No Coupon","Referral",655.09
"ORD200350","2023-06-03","C13296","Chair",2,54.41,"495 Main St","Online","Shipped","TRK60127216",6,"No Coupon","Instagram",108.82
"ORD200353","2025-03-28","C16012","Tablet",1,630.82,"171 Main St","Online","Delivered","TRK15195225",5,"FREESHIP","Google",630.82
"ORD200358","2024-04-07","C70633","Tablet",2,183.67,"747 Main St","Online","Cancelled","TRK82540521",3,"SAVE10","Google",367.34
"ORD200360","2024-06-06","C53810","Phone",4,589.57,"779 Main St","Cash","Pending","TRK34630612",8,"No Coupon","Instagram",2358.28
"ORD200362","2023-06-27","C53697","Monitor",4,206.84,"312 Main St","Cash","Cancelled","TRK60476656",5,"WINTER15","Instagram",827.36
"ORD200364","2023-11-24","C85282","Phone",5,628.74,"740 Main St","Cash","Cancelled","TRK86767206",9,"FREESHIP","Facebook",3143.70
"ORD200370","2025-05-03","C80649","Phone",1,312.11,"870 Main St","Online","Cancelled","TRK41143313",4,"WINTER15","Facebook",312.11
"ORD200372","2025-02-14","C53645","Chair",3,483.53,"166 Main St","Cash","Returned","TRK12123939",4,"No Coupon","Referral",1450.59
"ORD200373","2023-01-02","C60178","Laptop",3,341.15,"969 Main St","Cash","Pending","TRK84505143",4,"FREESHIP","Instagram",1023.45
"ORD200375","2025-01-16","C87547","Monitor",4,95.03,"400 Main St","Online","Shipped","TRK71027262",8,"FREESHIP","Facebook",380.12
"ORD200377","2024-07-22","C24884","Monitor",1,260.26,"625 Main St","Online","Pending","TRK44538419",5,"WINTER15","Instagram",260.26
"ORD200379","2024-09-21","C47284","Phone",3,297.67,"500 Main St","Online","Shipped","TRK85756094",6,"No Coupon","Google",893.01
"ORD200380","2024-04-20","C35355","Printer",4,331.90,"127 Main St","Cash","Pending","TRK52935059",5,"SAVE10","Instagram",1327.60
"ORD200386","2023-04-28","C12421","Tablet",1,93.02,"373 Main St","Online","Returned","TRK32588504",4,"No Coupon","Email",93.02
"ORD200388","2023-12-28","C22657","Printer",3,633.97,"152 Main St","Cash","Pending","TRK49157047",7,"WINTER15","Facebook",1901.91
"ORD200389","2023-12-17","C29703","Desk",4,697.50,"558 Main St","Cash","Shipped","TRK40543461",7,"FREESHIP","Referral",2790.00
"ORD200390","2023-07-14","C55996","Printer",5,508.69,"885 Main St","Cash","Delivered","TRK30547638",10,"FREESHIP","Google",2543.45
"ORD200392","2024-02-28","C95100","Phone",1,627.20,"197 Main St","Online","Delivered","TRK47366265",1,"WINTER15","Email",627.20
"ORD200396","2023-12-01","C99217","Tablet",5,287.13,"778 Main St","Online","Shipped","TRK82004594",10,"SAVE10","Email",1435.65
"ORD200397","2023-09-28","C30184","Monitor",1,427.06,"987 Main St","Online","Cancelled","TRK86674704",1,"WINTER15","Referral",427.06
"ORD200403","2024-11-10","C28893","Tablet",1,620.21,"740 Main St","Online","Returned","TRK98333066",1,"FREESHIP","Referral",620.21
"ORD200404","2023-03-09","C45482","Monitor",2,99.10,"440 Main St","Cash","Delivered","TRK54571699",6,"No Coupon","Instagram",198.20
"ORD200405","2025-01-26","C97774","Monitor",4,451.97,"603 Main St","Online","Cancelled","TRK64664424",7,"WINTER15","Email",1807.88
"ORD200406","2023-12-10","C11657","Tablet",4,66.10,"572 Main St","Cash","Returned","TRK50284486",9,"WINTER15","Google",264.40
"ORD200407","2023-08-13","C85993","Tablet",4,547.32,"250 Main St","Cash","Returned","TRK72547640",8,"FREESHIP","Instagram",2189.28
"ORD200408","2025-01-01","C11906","Printer",3,412.53,"536 Main St","Online","Pending","TRK31140158",6,"WINTER15","Google",1237.59
"ORD200409","2023-06-28","C45187","Desk",5,84.13,"767 Main St","Online","Delivered","TRK12320793",9,"SAVE10","Google",420.65
"ORD200411","2024-06-19","C66567","Desk",2,39.51,"981 Main St","Online","Shipped","TRK21174822",5,"No Coupon","Facebook",79.02
"ORD200413","2023-10-08","C13923","Tablet",1,118.80,"123 Main St","Online","Delivered","TRK87598790",6,"SAVE10","Email",118.80
"ORD200414","2025-05-04","C11829","Desk",2,139.57,"797 Main St","Cash","Delivered","TRK84229257",4,"WINTER15","Facebook",279.14
"ORD200417","2023-10-24","C44492","Laptop",5,55.41,"954 Main St","Online","Cancelled","TRK51429869",5,"No Coupon","Google",277.05
"ORD200418","2023-01-11","C74169","Printer",1,310.93,"862 Main St","Online","Cancelled","TRK66144809",3,"No Coupon","Facebook",310.93
"ORD200424","2023-04-12","C49491","Chair",5,22.94,"339 Main St","Cash","Pending","TRK64012257",10,"No Coupon","Email",114.70
"ORD200426","2025-03-16","C40967","Monitor",5,57.45,"315 Main St","Cash","Cancelled","TRK24839296",10,"No Coupon","Facebook",287.25
"ORD200428","2024-11-26","C77085","Chair",4,262.58,"895 Main St","Online","Cancelled","TRK57227640",8,"WINTER15","Email",1050.32
"ORD200436","2023-02-11","C14568","Laptop",4,221.33,"651 Main St","Online","Pending","TRK73545796",5,"No Coupon","Google",885.32
"ORD200437","2024-04-18","C63378","Phone",1,512.39,"955 Main St","Online","Delivered","TRK20863705",2,"FREESHIP","Instagram",512.39
"ORD200439","2024-09-08","C91155","Tablet",1,146.32,"321 Main St","Online","Shipped","TRK36260319",4,"WINTER15","Facebook",146.32
"ORD200442","2024-05-06","C72588","Chair",5,314.94,"661 Main St","Cash","Pending","TRK43410829",8,"SAVE10","Instagram",1574.70
"ORD200443","2024-05-14","C61668","Chair",2,69.64,"813 Main St","Cash","Returned","TRK58970302",6,"No Coupon","Facebook",139.28
"ORD200444","2024-06-08","C79508","Printer",1,135.17,"585 Main St","Online","Shipped","TRK61882353",6,"FREESHIP","Instagram",135.17
"ORD200445","2024-03-23","C94569","Phone",1,487.21,"227 Main St","Cash","Delivered","TRK31351770",3,"SAVE10","Referral",487.21
"ORD200446","2023-10-18","C89592","Laptop",5,509.58,"262 Main St","Online","Delivered","TRK49442402",6,"FREESHIP","Instagram",2547.90
"ORD200447","2024-04-07","C48207","Printer",2,416.81,"356 Main St","Cash","Returned","TRK45355655",2,"No Coupon","Facebook",833.62
"ORD200448","2023-09-04","C16776","Laptop",2,160.00,"854 Main St","Cash","Pending","TRK12860600",4,"SAVE10","Instagram",320.00
"ORD200449","2024-08-26","C91518","Tablet",3,253.05,"286 Main St","Online","Pending","TRK48688724",3,"No Coupon","Instagram",759.15
"ORD200452","2023-07-23","C36467","Printer",1,75.78,"581 Main St","Cash","Pending","TRK20863987",5,"SAVE10","Google",75.78
"ORD200453","2025-05-02","C15017","Tablet",1,675.57,"492 Main St","Cash","Shipped","TRK51241924",1,"WINTER15","Facebook",675.57
"ORD200457","2025-05-25","C50236","Desk",4,615.83,"545 Main St","Online","Returned","TRK67692578",4,"WINTER15","Instagram",2463.32
"ORD200460","2024-10-06","C83548","Laptop",1,144.25,"474 Main St","Cash","Returned","TRK93822942",2,"WINTER15","Referral",144.25
"ORD200462","2025-03-31","C22991","Phone",1,252.68,"731 Main St","Online","Cancelled","TRK32796086",1,"No Coupon","Referral",252.68
"ORD200464","2023-03-14","C39176","Tablet",4,434.42,"739 Main St","Online","Cancelled","TRK71418686",6,"FREESHIP","Google",1737.68
"ORD200466","2023-07-18","C37412","Phone",1,432.47,"895 Main St","Cash","Delivered","TRK97829604",4,"FREESHIP","Referral",432.47
"ORD200467","2024-08-30","C36492","Desk",1,45.94,"572 Main St","Cash","Cancelled","TRK44350440",2,"WINTER15","Email",45.94
